packet_size,interval,packets_per_second,count,transmitted,received,packet_loss,success_rate,min_rtt,avg_rtt,max_rtt,mdev_rtt,total_time,throughput_bps,throughput_mbps,expected_throughput_bps
64,0.01,100.0,50,50,50,0.0,100.0,1.215,1.289,1.573,0.047,0.489,75256,0.075,73600
100,0.01,100.0,50,50,50,0.0,100.0,1.449,1.535,1.787,0.048,0.489,104703,0.105,102400
128,0.01,100.0,50,50,50,0.0,100.0,1.483,1.581,1.799,0.045,0.489,127607,0.128,124800
200,0.01,100.0,50,50,50,0.0,100.0,1.862,1.992,2.14,0.046,0.49,186122,0.186,182400
256,0.01,100.0,50,50,50,0.0,100.0,2.102,2.172,2.519,0.055,0.489,232311,0.232,227200
300,0.01,100.0,50,50,50,0.0,100.0,2.314,2.488,3.282,0.13,0.489,268303,0.268,262400
400,0.01,100.0,50,50,50,0.0,100.0,2.728,2.916,3.144,0.058,0.489,350102,0.350,342400
500,0.01,100.0,50,50,50,0.0,100.0,3.206,3.427,3.56,0.082,0.49,431020,0.431,422400
600,0.01,100.0,50,50,50,0.0,100.0,3.759,3.99,4.104,0.085,0.49,512653,0.513,502400
700,0.01,100.0,50,50,50,0.0,100.0,4.108,4.253,4.602,0.075,0.49,594286,0.594,582400
800,0.01,100.0,50,50,50,0.0,100.0,4.679,4.838,5.083,0.064,0.49,675918,0.676,662400
900,0.01,100.0,50,50,50,0.0,100.0,5.036,5.387,5.507,0.109,0.49,757551,0.758,742400
1000,0.01,100.0,50,50,50,0.0,100.0,5.523,5.703,6.012,0.079,0.49,839184,0.839,822400
1100,0.01,100.0,50,50,50,0.0,100.0,5.941,6.145,6.332,0.075,0.49,920816,0.921,902400
1200,0.01,100.0,50,50,50,0.0,100.0,6.391,6.612,6.964,0.09,0.49,1002449,1.002,982400
1300,0.01,100.0,50,50,50,0.0,100.0,6.869,7.091,7.267,0.073,0.49,1084082,1.084,1062400
1400,0.01,100.0,50,50,50,0.0,100.0,7.379,7.61,8.267,0.124,0.49,1165714,1.166,1142400
1472,0.01,100.0,50,50,0,100.0,0.0,0.0,0.0,0.0,0.0,0.975,0,0.000,1200000
1400,0.1,10.0,100,100,100,0.0,100.0,7.37,7.753,7.995,0.098,9.967,114618,0.115,114240
1400,0.05,20.0,100,100,100,0.0,100.0,7.355,7.745,7.928,0.106,5.008,228115,0.228,228480
1400,0.02,50.0,100,100,100,0.0,100.0,7.294,7.762,7.92,0.113,2.029,563036,0.563,571200
1400,0.01,100.0,100,100,100,0.0,100.0,7.314,7.79,7.984,0.145,0.989,1155106,1.155,1142400
1400,0.008,125.0,100,100,100,0.0,100.0,7.42,7.822,7.984,0.129,0.8,1428000,1.428,1428000
1400,0.006,166.7,100,100,100,0.0,100.0,7.34,7.775,7.969,0.157,0.792,1442424,1.442,1904000
1400,0.005,200.0,100,100,100,0.0,100.0,7.321,7.767,7.974,0.146,0.791,1444248,1.444,2284800
1400,0.004,250.0,100,100,100,0.0,100.0,7.332,7.829,8.538,0.149,0.798,1431579,1.432,2856000
1400,0.003,333.3,100,100,100,0.0,100.0,7.371,7.782,8.312,0.151,0.793,1440605,1.441,3808000
1400,0.002,500.0,100,100,100,0.0,100.0,7.366,7.77,7.975,0.145,0.791,1444248,1.444,5712000
1400,0.0015,666.7,100,100,100,0.0,100.0,7.377,7.823,8.208,0.139,0.797,1433375,1.433,7616000
1400,0.001,1000.0,100,100,100,0.0,100.0,7.384,7.762,7.971,0.149,0.791,1444248,1.444,11424000
1400,0.0008,1250.0,100,100,100,0.0,100.0,7.391,7.782,8.139,0.15,0.793,1440605,1.441,14280000
1400,0.0006,1666.7,100,100,100,0.0,100.0,7.372,7.831,8.493,0.157,0.798,1431579,1.432,19040000
1400,0.0005,2000.0,100,100,100,0.0,100.0,7.34,7.76,7.987,0.146,0.79,1446076,1.446,22848000
1400,0.0004,2500.0,100,100,100,0.0,100.0,7.332,7.678,8.056,0.193,0.781,1462740,1.463,28560000
