t_s,seq,offset_ns,delta_ns,state,rate_ppb
0.0,7806,-14000359753508,0,UNINIT,0
0.125,7807,-14000359754148,-640,UNINIT,0
0.25,7808,-14000359754788,-640,UNINIT,-5114
0.375,7809,-14000359755428,-640,UNINIT,-5115
0.5,7810,-14000359756108,-680,UNINIT,-5115
0.625,7811,-14000359756748,-640,UNINIT,-5125
0.75,7812,-14000359757388,-640,UNINIT,-5124
0.875,7813,-14000359758028,-640,UNINIT,-5124
1.0,7814,-14000359758668,-640,UNINIT,-5124
1.125,7815,-14000359759308,-640,UNINIT,-5123
1.25,7816,-14000359759988,-680,UNINIT,-5123
1.375,7817,-14000359760628,-640,UNINIT,-5133
1.5,7818,-14000359761268,-640,UNINIT,-5132
1.625,7819,-14000359761908,-640,UNINIT,-5132
1.75,7820,-14000359762548,-640,UNINIT,-5131
1.875,7821,-14000359763228,-680,UNINIT,-5131
2.0,7822,-14000359763230,-2,MATCHFREQ,-5140
2.125,7823,-735602,14000359027628,HARDSYNC,-4980
2.25,7824,-735290,312,HARDSYNC,-4980
2.375,7825,315,735605,HARDSYNC,-4746
2.5,7826,275,-40,HARDSYNC,-4520
2.625,7827,589,314,COARSE,-4310
2.75,7828,708,119,COARSE,-4096
2.875,7829,760,52,COARSE,-3890
3.0,7830,733,-27,COARSE,-3690
3.125,7831,642,-91,COARSE,-3496
3.25,7832,601,-41,COARSE,-3318
3.375,7833,587,-14,COARSE,-3136
3.5,7834,596,9,COARSE,-2959
3.625,7835,574,-22,COARSE,-2788
3.75,7836,596,22,COARSE,-2633
3.875,7837,617,21,COARSE,-2472
4.0,7838,634,17,COARSE,-2316
4.125,7839,642,8,COARSE,-2165
4.25,7840,602,-40,COARSE,-2019
4.375,7841,603,1,COARSE,-1887
4.5,7842,611,8,COARSE,-1750
4.625,7843,623,12,COARSE,-1616
4.75,7844,632,9,COARSE,-1487
4.875,7845,596,-36,COARSE,-1362
5.0,7846,603,7,COARSE,-1251
5.125,7847,612,9,COARSE,-1133
5.25,7848,626,14,COARSE,-1020
5.375,7849,634,8,COARSE,-909
5.5,7850,597,-37,COARSE,-802
5.625,7851,603,6,COARSE,-708
5.75,7852,612,9,COARSE,-608
5.875,7853,625,13,COARSE,-510
6.0,7854,594,-31,COARSE,-416
6.125,7855,603,9,COARSE,-334
6.25,7856,933,330,COARSE,-245
6.375,7857,908,-25,COARSE,-155
6.5,7858,791,-117,COARSE,-68
6.625,7859,683,-108,COARSE,7
6.75,7860,615,-68,COARSE,89
6.875,7861,597,-18,COARSE,168
7.0,7862,612,15,COARSE,245
7.125,7863,598,-14,COARSE,320
7.25,7864,627,29,COARSE,383
7.375,7865,650,23,COARSE,453
7.5,7866,668,18,COARSE,521
7.625,7867,634,-34,COARSE,587
7.75,7868,639,5,COARSE,641
7.875,7869,646,7,COARSE,704
8.0,7870,656,10,COARSE,764
8.125,7871,663,7,COARSE,822
8.25,7872,626,-37,COARSE,879
8.375,7873,632,6,COARSE,924
8.5,7874,642,10,COARSE,977
8.625,7875,655,13,COARSE,1029
8.75,7876,624,-31,COARSE,1079
8.875,7877,634,10,COARSE,1118
9.0,7878,646,12,COARSE,1166
9.125,7879,658,12,COARSE,1212
9.25,7880,665,7,COARSE,1256
9.375,7881,627,-38,COARSE,1299
9.5,7882,632,5,COARSE,1331
9.625,7883,641,9,COARSE,1372
9.75,7884,655,14,COARSE,1411
9.875,7885,624,-31,COARSE,1449
10.0,7886,634,10,COARSE,1476
10.125,7887,646,12,COARSE,1513
10.25,7888,879,233,COARSE,1548
10.375,7889,754,-125,COARSE,1558
10.5,7890,568,-186,COARSE,1567
10.625,7891,435,-133,COARSE,1566
10.75,7892,376,-59,COARSE,1576
10.875,7893,380,4,COARSE,1585
11.0,7894,375,-5,COARSE,1593
11.125,7895,420,45,COARSE,1592
11.25,7896,458,38,COARSE,1600
11.375,7897,483,25,COARSE,1608
11.5,7898,450,-33,COARSE,1616
11.625,7899,452,2,COARSE,1614
11.75,7900,455,3,COARSE,1622
11.875,7901,462,7,COARSE,1629
12.0,7902,467,5,COARSE,1636
12.125,7903,430,-37,COARSE,1643
12.25,7904,437,7,COARSE,1640
12.375,7905,448,11,COARSE,1647
12.5,7906,462,14,COARSE,1654
12.625,7907,431,-31,COARSE,1660
12.75,7908,441,10,COARSE,1657
12.875,7909,452,11,COARSE,1663
13.0,7910,466,14,COARSE,1669
13.125,7911,433,-33,COARSE,1676
13.25,7912,441,8,COARSE,1671
13.375,7913,451,10,COARSE,1677
13.5,7914,464,13,COARSE,1683
13.625,7915,471,7,COARSE,1689
13.75,7916,433,-38,COARSE,1694
13.875,7917,438,5,COARSE,1689
14.0,7918,448,10,COARSE,1695
14.125,7919,462,14,COARSE,1700
14.25,7920,550,88,COARSE,1705
14.375,7921,433,-117,COARSE,1674
14.5,7922,319,-114,COARSE,1653
14.625,7923,229,-90,COARSE,1633
14.75,7924,152,-77,COARSE,1613
14.875,7925,163,11,COARSE,1584
15.0,7926,199,36,COARSE,1567
15.125,7927,241,42,COARSE,1549
15.25,7928,267,26,COARSE,1532
15.375,7929,237,-30,COARSE,1516
15.5,7930,239,2,COARSE,1490
15.625,7931,243,4,COARSE,1475
15.75,7932,250,7,COARSE,1461
15.875,7933,215,-35,COARSE,1447
16.0,7934,223,8,COARSE,1423
16.125,7935,236,13,COARSE,1410
16.25,7936,250,14,COARSE,1398
16.375,7937,219,-31,COARSE,1386
16.5,7938,228,9,COARSE,1364
16.625,7939,239,11,COARSE,1353
16.75,7940,251,12,COARSE,1342
16.875,7941,259,8,COARSE,1332
17.0,7942,221,-38,COARSE,1322
17.125,7943,227,6,COARSE,1302
17.25,7944,236,9,COARSE,1293
17.375,7945,248,12,COARSE,1284
17.5,7946,216,-32,COARSE,1275
17.625,7947,227,11,COARSE,1257
17.75,7948,238,11,COARSE,1249
17.875,7949,252,14,COARSE,1242
18.0,7950,259,7,COARSE,1235
18.125,7951,221,-38,COARSE,1228
18.25,7952,273,52,COARSE,1211
18.375,7953,198,-75,COARSE,1186
18.5,7954,134,-64,COARSE,1161
18.625,7955,85,-49,COARSE,1138
18.75,7956,26,-59,FINE,1115
18.875,7957,37,11,FINE,1082
19.0,7958,64,27,FINE,1061
19.125,7959,94,30,FINE,1041
19.25,7960,72,-22,FINE,1021
19.375,7961,85,13,FINE,992
19.5,7962,95,10,FINE,973
19.625,7963,104,9,FINE,956
19.75,7964,108,4,FINE,939
19.875,7965,67,-41,FINE,922
20.0,7966,72,5,FINE,896
20.125,7967,82,10,FINE,880
20.25,7968,96,14,FINE,866
20.375,7969,66,-30,FINE,851
20.5,7970,77,11,FINE,827
20.625,7971,88,11,FINE,814
20.75,7972,101,13,FINE,801
20.875,7973,108,7,FINE,789
21.0,7974,70,-38,FINE,777
21.125,7975,74,4,FINE,755
21.25,7976,83,9,FINE,744
21.375,7977,97,14,FINE,734
21.5,7978,66,-31,FINE,723
21.625,7979,75,9,FINE,703
21.75,7980,87,12,FINE,694
21.875,7981,100,13,FINE,685
22.0,7982,107,7,FINE,676
22.125,7983,69,-38,FINE,668
22.25,7984,80,11,FINE,649
22.375,7985,48,-32,FINE,632
22.5,7986,26,-22,FINE,615
22.625,7987,-29,-55,FINE,598
22.75,7988,-18,11,FINE,572
22.875,7989,-8,10,FINE,557
23.0,7990,2,10,FINE,542
23.125,7991,13,11,FINE,527
23.25,7992,-17,-30,FINE,513
23.375,7993,-7,10,FINE,490
23.5,7994,4,11,FINE,477
23.625,7995,14,10,FINE,465
23.75,7996,-16,-30,FINE,453
23.875,7997,-6,10,FINE,431
24.0,7998,5,11,FINE,420
24.125,7999,15,10,FINE,410
24.25,8000,25,10,FINE,399
24.375,8001,-5,-30,FINE,389
24.5,8002,6,11,FINE,370
24.625,8003,16,10,FINE,361
24.75,8004,26,10,FINE,352
24.875,8005,-3,-29,FINE,344
25.0,8006,7,10,FINE,326
25.125,8007,17,10,FINE,318
25.25,8008,27,10,FINE,310
25.375,8009,38,11,FINE,303
25.5,8010,8,-30,FINE,296
25.625,8011,18,10,FINE,280
25.75,8012,28,10,FINE,273
25.875,8013,39,11,FINE,267
26.0,8014,49,10,FINE,262
26.125,8015,20,-29,FINE,256
26.25,8016,15,-5,FINE,241
26.375,8017,10,-5,FINE,232
26.5,8018,6,-4,FINE,224
26.625,8019,-39,-45,FINE,216
26.75,8020,-44,-5,FINE,198
26.875,8021,-49,-5,FINE,190
27.0,8022,-32,17,FINE,183
27.125,8023,-55,-23,FINE,176
27.25,8024,-37,18,FINE,160
27.375,8025,-21,16,FINE,154
27.5,8026,-25,-4,FINE,147
27.625,8027,-30,-5,FINE,142
27.75,8028,-75,-45,FINE,136
27.875,8029,-58,17,FINE,121
28.0,8030,-35,23,FINE,116
28.125,8031,-12,23,FINE,111
28.25,8032,-57,-45,FINE,107
28.375,8033,-62,-5,FINE,92
28.5,8034,-45,17,FINE,88
28.625,8035,-23,22,FINE,84
28.75,8036,-45,-22,FINE,80
28.875,8037,-50,-5,FINE,67
29.0,8038,-55,-5,FINE,63
29.125,8039,-35,20,FINE,60
29.25,8040,-17,18,FINE,57
29.375,8041,-61,-44,FINE,54
29.5,8042,-66,-5,FINE,41
29.625,8043,-47,19,FINE,39
29.75,8044,-22,25,FINE,36
29.875,8045,-44,-22,FINE,34
30.0,8046,-49,-5,FINE,22
30.125,8047,-54,-5,FINE,20
30.25,8048,-60,-6,FINE,18
30.375,8049,-39,21,FINE,16
30.5,8050,-58,-19,FINE,14
30.625,8051,-38,20,FINE,3
30.75,8052,-21,17,FINE,1
30.875,8053,-27,-6,FINE,0
31.0,8054,-73,-46,FINE,-2
31.125,8055,-79,-6,FINE,-13
31.25,8056,-55,24,FINE,-14
31.375,8057,-26,29,FINE,-15
31.5,8058,-5,21,FINE,-16
31.625,8059,-51,-46,FINE,-17
31.75,8060,-57,-6,FINE,-28
31.875,8061,-63,-6,FINE,-29
32.0,8062,-39,24,FINE,-29
32.125,8063,-58,-19,FINE,-30
32.25,8064,-37,21,FINE,-40
32.375,8065,-21,16,FINE,-41
32.5,8066,-27,-6,FINE,-41
32.625,8067,-33,-6,FINE,-41
32.75,8068,-79,-46,FINE,-41
32.875,8069,-62,17,FINE,-51
33.0,8070,-38,24,FINE,-51
33.125,8071,-14,24,FINE,-51
33.25,8072,-60,-46,FINE,-51
33.375,8073,-66,-6,FINE,-61
33.5,8074,-49,17,FINE,-60
33.625,8075,-26,23,FINE,-60
33.75,8076,-48,-22,FINE,-59
33.875,8077,-33,15,FINE,-69
34.0,8078,-39,-6,FINE,-68
34.125,8079,-45,-6,FINE,-68
34.25,8080,-47,-2,FINE,-67
34.375,8081,-66,-19,FINE,-65
34.5,8082,-42,24,FINE,-73
34.625,8083,-18,24,FINE,-72
34.75,8084,1,19,FINE,-70
34.875,8085,-40,-41,FINE,-68
35.0,8086,-42,-2,FINE,-76
35.125,8087,-43,-1,FINE,-74
35.25,8088,-24,19,FINE,-72
35.375,8089,-26,-2,FINE,-70
35.5,8090,-67,-41,FINE,-69
35.625,8091,-69,-2,FINE,-77
35.75,8092,-43,26,FINE,-75
35.875,8093,-15,28,FINE,-73
36.0,8094,-36,-21,FINE,-71
36.125,8095,-37,-1,FINE,-79
36.25,8096,-39,-2,FINE,-77
36.375,8097,-40,-1,FINE,-75
36.5,8098,-42,-2,FINE,-73
36.625,8099,-84,-42,FINE,-71
36.75,8100,-57,27,FINE,-79
36.875,8101,-28,29,FINE,-77
37.0,8102,-1,27,FINE,-75
37.125,8103,-3,-2,FINE,-73
37.25,8104,-45,-42,FINE,-71
37.375,8105,-46,-1,FINE,-79
37.5,8106,-48,-2,FINE,-77
37.625,8107,-26,22,FINE,-75
37.75,8108,-68,-42,FINE,-73
37.875,8109,-45,23,FINE,-81
38.0,8110,-24,21,FINE,-79
38.125,8111,-3,21,FINE,-77
38.25,8112,1,4,FINE,-75
38.375,8113,-36,-37,FINE,-72
38.5,8114,-33,3,FINE,-79
38.625,8115,-30,3,FINE,-76
38.75,8116,-27,3,FINE,-72
38.875,8117,-64,-37,FINE,-69
39.0,8118,-60,4,FINE,-77
39.125,8119,-32,28,FINE,-73
39.25,8120,-3,29,FINE,-70
39.375,8121,0,3,FINE,-67
39.5,8122,-36,-36,FINE,-64
39.625,8123,-33,3,FINE,-71
39.75,8124,-30,3,FINE,-68
39.875,8125,-26,4,FINE,-66
40.0,8126,-63,-37,FINE,-63
40.125,8127,-60,3,FINE,-70
40.25,8128,-32,28,FINE,-67
40.375,8129,-3,29,FINE,-64
40.5,8130,0,3,FINE,-61
40.625,8131,-36,-36,FINE,-59
40.75,8132,-33,3,FINE,-66
40.875,8133,-30,3,FINE,-63
41.0,8134,-27,3,FINE,-60
41.125,8135,-24,3,FINE,-58
41.25,8136,-60,-36,FINE,-55
41.375,8137,-57,3,FINE,-63
41.5,8138,-30,27,FINE,-60
41.625,8139,-2,28,FINE,-57
41.75,8140,1,3,FINE,-55
41.875,8141,-36,-37,FINE,-52
42.0,8142,-32,4,FINE,-60
42.125,8143,-29,3,FINE,-57
42.25,8144,-23,6,FINE,-55
42.375,8145,-56,-33,FINE,-51
42.5,8146,-49,7,FINE,-58
42.625,8147,-22,27,FINE,-55
42.75,8148,6,28,FINE,-51
42.875,8149,12,6,FINE,-48
43.0,8150,-21,-33,FINE,-45
43.125,8151,-15,6,FINE,-52
43.25,8152,-8,7,FINE,-49
43.375,8153,-1,7,FINE,-46
43.5,8154,5,6,FINE,-42
43.625,8155,-28,-33,FINE,-40
43.75,8156,-22,6,FINE,-47
43.875,8157,-15,7,FINE,-44
44.0,8158,-9,6,FINE,-41
44.125,8159,-2,7,FINE,-38
44.25,8160,-36,-34,FINE,-35
44.375,8161,-29,7,FINE,-42
44.5,8162,-23,6,FINE,-39
44.625,8163,-16,7,FINE,-37
44.75,8164,-10,6,FINE,-34
44.875,8165,-43,-33,FINE,-31
45.0,8166,-37,6,FINE,-38
45.125,8167,-30,7,FINE,-36
45.25,8168,-24,6,FINE,-33
45.375,8169,-17,7,FINE,-30
45.5,8170,-51,-34,FINE,-28
45.625,8171,-45,6,FINE,-35
45.75,8172,-38,7,FINE,-33
45.875,8173,-9,29,FINE,-30
46.0,8174,-3,6,FINE,-27
46.125,8175,-37,-34,FINE,-25
46.25,8176,-28,9,FINE,-33
46.375,8177,-19,9,FINE,-29
46.5,8178,-11,8,FINE,-26
46.625,8179,-2,9,FINE,-24
46.75,8180,7,9,FINE,-21
46.875,8181,-24,-31,FINE,-18
47.0,8182,-16,8,FINE,-25
47.125,8183,-7,9,FINE,-22
47.25,8184,2,9,FINE,-19
47.375,8185,11,9,FINE,-16
47.5,8186,-20,-31,FINE,-14
47.625,8187,-11,9,FINE,-21
47.75,8188,-3,8,FINE,-18
47.875,8189,6,9,FINE,-16
48.0,8190,15,9,FINE,-13
48.125,8191,-16,-31,FINE,-10
48.25,8192,-7,9,FINE,-18
48.375,8193,1,8,FINE,-15
48.5,8194,10,9,FINE,-12
48.625,8195,19,9,FINE,-10
48.75,8196,28,9,FINE,-7
48.875,8197,-4,-32,FINE,-5
49.0,8198,5,9,FINE,-13
49.125,8199,14,9,FINE,-10
49.25,8200,23,9,FINE,-7
49.375,8201,32,9,FINE,-5
49.5,8202,1,-31,FINE,-3
49.625,8203,10,9,FINE,-10
49.75,8204,18,8,FINE,-8
49.875,8205,27,9,FINE,-6
50.0,8206,36,9,FINE,-3
50.125,8207,5,-31,FINE,-1
50.25,8208,14,9,FINE,-9
50.375,8209,23,9,FINE,-6
50.5,8210,33,10,FINE,-4
50.625,8211,42,9,FINE,-1
50.75,8212,51,9,FINE,1
50.875,8213,0,-51,FINE,3
